/* monsters are:
{quantity, name#, attack#, mon_char, damage, health, follow, mvspeed, firechnce,
  moverange, reschance, monfire#, dead, fly, magic, healspeed}
Necessary end of comment marker ==> **/
4   0   0   a   1    5   3   3   0  30  50   0   0   0   0   15
2   1   1   b   2   15  12   2  35  40   2   0   0   0   0   20
5   2   2   c   4    8   1  16  20  99   1   0   0   0   0    8
1   3   3   d  10   20   8   4  60  20   2   2   0   0   1   25
3   4   4   e   5   12  10   6   5  15   1   3   0   0   0   20
2   5   5   f   4   10   5   4  30  50   2   0   0   0   1   14
1   6   6   g   3    9   6   5  15  40   1   4   0   1   0   25
1   7   7   h   5   20   5   3  20  50  10   4   0   0   0   30
2   8   8   i   1    8  13   2   0  20  15   0   0   1   0   16
6   9   9   J  10   20   2   9  10  30   7   3   0   0   1    6
1  10  10   U  11   30   7   5  20  25   1   5   0   1   0   27
1  11  11   v   9   20  10   3  10  20   8   1   0   0   1   16
1  12  12   w   7   20   6   3   5  30  12   0   0   0   0   16
2  13  13   x   3   20   8   2  10  15   6   2   0   0   0   10
1  14  14   m   5   30   3   4   8  50  50   2   0   0   0   10
2  15  15   z   8   30  12   2  20  30  15   1   0   0   1   15
3  16  16   t  15   30  15   7   5  17   3   5   0   0   0   17
2  17  17   B   2   30   6   2  20  30  15   0   0   1   0    5
1  18  18   V   1   30   5   3   5  30   2   2   0   0   0    8
1  19  19   S   4   30   2   2   0  25  20   5   0   0   1    9
1  20  20   j   3   40   5   4  10  40  12   2   0   0   0   12
1  21  21   D   1   50   1   5  40  40  25   5   0   0   0    5
1  22  22   N   2   35   3   4  20  30  10   6   0   0   0    5
3  23  23   r  15   40  15   6   8  50  15   3   0   0   0   27
1  24  24   A  999  99   1   2   5  50   2   7   0   0   1    1
